titulo,casas,local,preco,bairro,cidade,descriçao,atributos,quartos,banheiro
Casa aluguel Bairro Maracangalha Zap,"Quartos br Sala br Cozinha br Banheiro br Garagem br Área de serviço. Casa com 2 dormitórios, 1 banheiro, 1 [...]"," Maracangalha, Belém ",800, Maracangalha, Belém ,"AluguelR$800 /mêsCasa aluguel Bairro Maracangalha ZapQuartos br Sala br Cozinha br Banheiro br Garagem br Área de serviço. Casa com 2 dormitórios, 1 banheiro, 1 [...", 2 Dormitórios 1 Banheiro 1 Vaga na garagem, 2 ,1
CASA 2 QUARTOS,"Em vila contendo 2 quartos,1 banheiro,cozinha, sala, área de serviço e sacada. br bem ventilada, quem tiver [...]"," Pedreira, Belém ",820, Pedreira, Belém ,"AluguelR$820 /mêsCASA 2 QUARTOSEm vila contendo 2 quartos,1 banheiro,cozinha, sala, área de serviço e sacada. br bem ventilada, quem tiver [...", 2 Dormitórios 1 Banheiro, 2 ,1
"Casa em Vila, na Tv. 9 de Janeiro","Casas em vila, situada na Tv. 9 de Janeiro n° 2.945, em frente a Catedral da Igreja Quadrangular, padrão de [...]"," Condor, Belém ",900, Condor, Belém ,"AluguelR$900 /mêsCasa em Vila, na Tv. 9 de JaneiroCasas em vila, situada na Tv. 9 de Janeiro n° 2.945, em frente a Catedral da Igreja Quadrangular, padrão de [...", 2 Dormitórios 1 Banheiro, 2 ,1
Imóvel para locação,"Imóvel para alugar localizado na Avenida Perimetral, próximo a marquês, com as seguintes qualidades br -Imóvel [...]"," Marco, Belém ",1500, Marco, Belém ,"AluguelR$1.500 /mêsImóvel para locaçãoImóvel para alugar localizado na Avenida Perimetral, próximo a marquês, com as seguintes qualidades br -Imóvel [...", 3 Dormitórios 2 Banheiros, 3 ,2
CASA TÉRREO DE 01 QUARTO - COD 1792,"TERREA PROXIMA AO BOSQUE RODRIGUES ALVES, AO HANGAR, POSTO DE GASOLINA, EM OTIMA LOCALIZACAO 01 QUARTO - SEM GARAGEM. [...]"," Marco, Belém ",900, Marco, Belém ,"AluguelR$900 /mêsCASA TÉRREO DE 01 QUARTO - COD 1792TERREA PROXIMA AO BOSQUE RODRIGUES ALVES, AO HANGAR, POSTO DE GASOLINA, EM OTIMA LOCALIZACAO 01 QUARTO - SEM GARAGEM. [...", 1 Dormitório 1 Banheiro, 1 ,1
Aluga-se Kit nets em Canudos,"Kit nets em Canudos na Passagem Nazaré número 80 entre Cipriano Santos e Roso Danin. Br Fica próximo à Feiras, [...]"," Chapéu Virado, Belém ",480, Chapéu Virado, Belém ,"AluguelR$480 /mêsAluga-se Kit nets em CanudosKit nets em Canudos na Passagem Nazaré número 80 entre Cipriano Santos e Roso Danin. Br Fica próximo à Feiras, [...", 1 Dormitório 1 Banheiro, 1 ,1
ALUGO CASA COM 3 QUARTOS NA GENERALISSIMO,"NA GENERALISSIMO br br NA GENERALÍSSIMO DEODORO br AVENIDA GENERALÍSSIMO DEODORO, ENTE GENTIL E CONSELHEIRO [...]"," Umarizal, Belém ",2150, Umarizal, Belém ,"AluguelR$2.150 /mêsALUGO CASA COM 3 QUARTOS NA GENERALISSIMONA GENERALISSIMO br br NA GENERALÍSSIMO DEODORO br AVENIDA GENERALÍSSIMO DEODORO, ENTE GENTIL E CONSELHEIRO [...", 3 Dormitórios 1 Banheiro, 3 ,1
Lindo kit net c/ Ar condicionado em canudos Prox. Ao Líder,"Casinha estilo kitnet, com acabamento de primeira, muito aconchegante, com pátio/área de serviço, sala/cozinha [...]"," Canudos, Belém ",1000, Canudos, Belém ,"AluguelR$1.000 /mêsLindo kit net c/ Ar condicionado em canudos Prox. Ao LíderCasinha estilo kitnet, com acabamento de primeira, muito aconchegante, com pátio/área de serviço, sala/cozinha [...", 1 Dormitório 1 Banheiro, 1 ,1
Sobrado para aluguel tem 1100 m² com 20 quartos em Nazaré - Belém - PA,Uma magnífica Casa na rua Dr. Moraes no bairro de Nazaré em Belém. Capital do Pará. Br br Construção [...]," Nazaré, Belém ",50000, Nazaré, Belém ,AluguelR$50.000 /mêsSobrado para aluguel tem 1100 m² com 20 quartos em Nazaré - Belém - PAUma magnífica Casa na rua Dr. Moraes no bairro de Nazaré em Belém. Capital do Pará. Br br Construção [..., 5 Dormitórios 5 Banheiros 5 Vagas na garagem, 5 ,5
Aluguel de Casa - Bairro do Marco,"Casa Sala, Garagem, Lavabo, Dois Quarto pequenos, Um banheiro, Terraço, Cozinha e Pátio. 3 andares, cada andar [...]"," Marco, Belém ",1500, Marco, Belém ,"AluguelR$1.500 /mêsAluguel de Casa - Bairro do MarcoCasa Sala, Garagem, Lavabo, Dois Quarto pequenos, Um banheiro, Terraço, Cozinha e Pátio. 3 andares, cada andar [...", 2 Dormitórios 1 Banheiro 1 Vaga na garagem, 2 ,1
